                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.87226,                0.79402,                 1.0372,                0.88444,                0.98611,                0.97634,                0.69445,                 1.0803,                0.74968,                 1.1548,             0.00072497,             0.00072497,             0.00072497
                    134,                0.85831,                0.77492,                 1.0391,                0.90814,                0.98276,                0.97982,                0.69844,                 1.0855,                0.74082,                 1.1633,             0.00072414,             0.00072414,             0.00072414
                    135,                0.84994,                0.76378,                 1.0235,                0.90814,                0.98276,                0.97982,                0.69844,                 1.0855,                0.74082,                 1.1633,             0.00072332,             0.00072332,             0.00072332
                    136,                0.85211,                0.76282,                 1.0299,                 0.9284,                0.98611,                0.98151,                0.71897,                  1.001,                0.70932,                 1.1507,             0.00072249,             0.00072249,             0.00072249
                    137,                0.89056,                0.73624,                 1.0503,                 0.9284,                0.98611,                0.98151,                0.71897,                  1.001,                0.70932,                 1.1507,             0.00072167,             0.00072167,             0.00072167
                    138,                0.84789,                0.75359,                 1.0527,                 0.9186,                0.98611,                0.98151,                0.73091,                 1.0019,                0.70412,                  1.161,             0.00072084,             0.00072084,             0.00072084
                    139,                0.86985,                0.75789,                 1.0617,                 0.9186,                0.98611,                0.98151,                0.73091,                 1.0019,                0.70412,                  1.161,             0.00072002,             0.00072002,             0.00072002
                    140,                0.86267,                0.71387,                 1.0213,                0.91903,                0.98611,                0.98154,                0.73404,                 1.0109,                0.70065,                 1.1717,              0.0007192,              0.0007192,              0.0007192
                    141,                 0.8865,                0.73861,                 1.0576,                0.91903,                0.98611,                0.98154,                0.73404,                 1.0109,                0.70065,                 1.1717,             0.00071837,             0.00071837,             0.00071837
                    142,                 0.8655,                0.73418,                 1.0253,                0.92617,                0.98611,                0.98156,                0.74503,                0.99426,                 0.7053,                 1.1567,             0.00071755,             0.00071755,             0.00071755
                    143,                0.86014,                0.76585,                 1.0431,                0.92617,                0.98611,                0.98156,                0.74503,                0.99426,                 0.7053,                 1.1567,             0.00071672,             0.00071672,             0.00071672
